title	year	party	municipality	district	votes	share
Bratislava - Staré Mesto - SRK - 2010	7	SRK	Bratislava - Staré Mesto	Okres Bratislava I	14	0.05
Bratislava - Staré Mesto - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Staré Mesto	Okres Bratislava I	118	0.47
Bratislava - Staré Mesto - SaS - 2010	7	SaS	Bratislava - Staré Mesto	Okres Bratislava I	4 159	16.60
Bratislava - Staré Mesto - SDĽ - 2010	7	SDĽ	Bratislava - Staré Mesto	Okres Bratislava I	323	1.28
Bratislava - Staré Mesto - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Staré Mesto	Okres Bratislava I	202	0.80
Bratislava - Staré Mesto - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Staré Mesto	Okres Bratislava I	631	2.51
Bratislava - Staré Mesto - KSS - 2010	7	KSS	Bratislava - Staré Mesto	Okres Bratislava I	80	0.31
Bratislava - Staré Mesto - SNS - 2010	7	SNS	Bratislava - Staré Mesto	Okres Bratislava I	700	2.79
Bratislava - Staré Mesto - ND - 2010	7	ND	Bratislava - Staré Mesto	Okres Bratislava I	65	0.25
Bratislava - Staré Mesto - ZRS - 2010	7	ZRS	Bratislava - Staré Mesto	Okres Bratislava I	9	0.03
Bratislava - Staré Mesto - KDH - 2010	7	KDH	Bratislava - Staré Mesto	Okres Bratislava I	2 739	10.93
Bratislava - Staré Mesto - ĽSNS - 2010	7	ĽSNS	Bratislava - Staré Mesto	Okres Bratislava I	95	0.37
Bratislava - Staré Mesto - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Staré Mesto	Okres Bratislava I	8 161	32.58
Bratislava - Staré Mesto - AZEN - 2010	7	AZEN	Bratislava - Staré Mesto	Okres Bratislava I	24	0.09
Bratislava - Staré Mesto - SMER - 2010	7	SMER	Bratislava - Staré Mesto	Okres Bratislava I	4 738	18.91
Bratislava - Staré Mesto - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Staré Mesto	Okres Bratislava I	2 772	11.06
Bratislava - Podunajské Biskupice - SRK - 2010	7	SRK	Bratislava - Podunajské Biskupice	Okres Bratislava II	5	0.04
Bratislava - Podunajské Biskupice - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Podunajské Biskupice	Okres Bratislava II	60	0.56
Bratislava - Podunajské Biskupice - SaS - 2010	7	SaS	Bratislava - Podunajské Biskupice	Okres Bratislava II	1 613	15.16
Bratislava - Podunajské Biskupice - SDĽ - 2010	7	SDĽ	Bratislava - Podunajské Biskupice	Okres Bratislava II	202	1.89
Bratislava - Podunajské Biskupice - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Podunajské Biskupice	Okres Bratislava II	261	2.45
Bratislava - Podunajské Biskupice - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Podunajské Biskupice	Okres Bratislava II	255	2.39
Bratislava - Podunajské Biskupice - KSS - 2010	7	KSS	Bratislava - Podunajské Biskupice	Okres Bratislava II	49	0.46
Bratislava - Podunajské Biskupice - SNS - 2010	7	SNS	Bratislava - Podunajské Biskupice	Okres Bratislava II	415	3.90
Bratislava - Podunajské Biskupice - ND - 2010	7	ND	Bratislava - Podunajské Biskupice	Okres Bratislava II	20	0.18
Bratislava - Podunajské Biskupice - ZRS - 2010	7	ZRS	Bratislava - Podunajské Biskupice	Okres Bratislava II	4	0.03
Bratislava - Podunajské Biskupice - KDH - 2010	7	KDH	Bratislava - Podunajské Biskupice	Okres Bratislava II	526	4.94
Bratislava - Podunajské Biskupice - ĽSNS - 2010	7	ĽSNS	Bratislava - Podunajské Biskupice	Okres Bratislava II	72	0.67
Bratislava - Podunajské Biskupice - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Podunajské Biskupice	Okres Bratislava II	2 680	25.19
Bratislava - Podunajské Biskupice - AZEN - 2010	7	AZEN	Bratislava - Podunajské Biskupice	Okres Bratislava II	8	0.07
Bratislava - Podunajské Biskupice - SMER - 2010	7	SMER	Bratislava - Podunajské Biskupice	Okres Bratislava II	2 540	23.87
Bratislava - Podunajské Biskupice - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Podunajské Biskupice	Okres Bratislava II	1 784	16.77
Bratislava - Ružinov - SRK - 2010	7	SRK	Bratislava - Ružinov	Okres Bratislava II	9	0.02
Bratislava - Ružinov - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Ružinov	Okres Bratislava II	253	0.60
Bratislava - Ružinov - SaS - 2010	7	SaS	Bratislava - Ružinov	Okres Bratislava II	7 238	17.35
Bratislava - Ružinov - SDĽ - 2010	7	SDĽ	Bratislava - Ružinov	Okres Bratislava II	672	1.61
Bratislava - Ružinov - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Ružinov	Okres Bratislava II	267	0.64
Bratislava - Ružinov - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Ružinov	Okres Bratislava II	1 290	3.09
Bratislava - Ružinov - KSS - 2010	7	KSS	Bratislava - Ružinov	Okres Bratislava II	152	0.36
Bratislava - Ružinov - SNS - 2010	7	SNS	Bratislava - Ružinov	Okres Bratislava II	1 420	3.40
Bratislava - Ružinov - ND - 2010	7	ND	Bratislava - Ružinov	Okres Bratislava II	114	0.27
Bratislava - Ružinov - ZRS - 2010	7	ZRS	Bratislava - Ružinov	Okres Bratislava II	14	0.03
Bratislava - Ružinov - KDH - 2010	7	KDH	Bratislava - Ružinov	Okres Bratislava II	3 591	8.61
Bratislava - Ružinov - ĽSNS - 2010	7	ĽSNS	Bratislava - Ružinov	Okres Bratislava II	209	0.50
Bratislava - Ružinov - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Ružinov	Okres Bratislava II	12 369	29.66
Bratislava - Ružinov - AZEN - 2010	7	AZEN	Bratislava - Ružinov	Okres Bratislava II	42	0.10
Bratislava - Ružinov - SMER - 2010	7	SMER	Bratislava - Ružinov	Okres Bratislava II	10 293	24.68
Bratislava - Ružinov - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Ružinov	Okres Bratislava II	3 288	7.88
Bratislava - Vrakuňa - SRK - 2010	7	SRK	Bratislava - Vrakuňa	Okres Bratislava II	4	0.04
Bratislava - Vrakuňa - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Vrakuňa	Okres Bratislava II	60	0.63
Bratislava - Vrakuňa - SaS - 2010	7	SaS	Bratislava - Vrakuňa	Okres Bratislava II	1 741	18.49
Bratislava - Vrakuňa - SDĽ - 2010	7	SDĽ	Bratislava - Vrakuňa	Okres Bratislava II	203	2.15
Bratislava - Vrakuňa - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Vrakuňa	Okres Bratislava II	94	0.99
Bratislava - Vrakuňa - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Vrakuňa	Okres Bratislava II	208	2.21
Bratislava - Vrakuňa - KSS - 2010	7	KSS	Bratislava - Vrakuňa	Okres Bratislava II	36	0.38
Bratislava - Vrakuňa - SNS - 2010	7	SNS	Bratislava - Vrakuňa	Okres Bratislava II	373	3.96
Bratislava - Vrakuňa - ND - 2010	7	ND	Bratislava - Vrakuňa	Okres Bratislava II	29	0.30
Bratislava - Vrakuňa - ZRS - 2010	7	ZRS	Bratislava - Vrakuňa	Okres Bratislava II	6	0.06
Bratislava - Vrakuňa - KDH - 2010	7	KDH	Bratislava - Vrakuňa	Okres Bratislava II	549	5.83
Bratislava - Vrakuňa - ĽSNS - 2010	7	ĽSNS	Bratislava - Vrakuňa	Okres Bratislava II	64	0.68
Bratislava - Vrakuňa - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Vrakuňa	Okres Bratislava II	2 693	28.61
Bratislava - Vrakuňa - AZEN - 2010	7	AZEN	Bratislava - Vrakuňa	Okres Bratislava II	4	0.04
Bratislava - Vrakuňa - SMER - 2010	7	SMER	Bratislava - Vrakuňa	Okres Bratislava II	2 303	24.47
Bratislava - Vrakuňa - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Vrakuňa	Okres Bratislava II	882	9.37
Bratislava - Nové Mesto - SRK - 2010	7	SRK	Bratislava - Nové Mesto	Okres Bratislava III	5	0.02
Bratislava - Nové Mesto - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Nové Mesto	Okres Bratislava III	171	0.76
Bratislava - Nové Mesto - SaS - 2010	7	SaS	Bratislava - Nové Mesto	Okres Bratislava III	3 864	17.27
Bratislava - Nové Mesto - SDĽ - 2010	7	SDĽ	Bratislava - Nové Mesto	Okres Bratislava III	390	1.74
Bratislava - Nové Mesto - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Nové Mesto	Okres Bratislava III	139	0.62
Bratislava - Nové Mesto - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Nové Mesto	Okres Bratislava III	662	2.95
Bratislava - Nové Mesto - KSS - 2010	7	KSS	Bratislava - Nové Mesto	Okres Bratislava III	85	0.38
Bratislava - Nové Mesto - SNS - 2010	7	SNS	Bratislava - Nové Mesto	Okres Bratislava III	775	3.46
Bratislava - Nové Mesto - ND - 2010	7	ND	Bratislava - Nové Mesto	Okres Bratislava III	56	0.25
Bratislava - Nové Mesto - ZRS - 2010	7	ZRS	Bratislava - Nové Mesto	Okres Bratislava III	16	0.07
Bratislava - Nové Mesto - KDH - 2010	7	KDH	Bratislava - Nové Mesto	Okres Bratislava III	1 915	8.56
Bratislava - Nové Mesto - ĽSNS - 2010	7	ĽSNS	Bratislava - Nové Mesto	Okres Bratislava III	118	0.52
Bratislava - Nové Mesto - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Nové Mesto	Okres Bratislava III	6 741	30.13
Bratislava - Nové Mesto - AZEN - 2010	7	AZEN	Bratislava - Nové Mesto	Okres Bratislava III	32	0.14
Bratislava - Nové Mesto - SMER - 2010	7	SMER	Bratislava - Nové Mesto	Okres Bratislava III	5 397	24.12
Bratislava - Nové Mesto - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Nové Mesto	Okres Bratislava III	1 777	7.94
Bratislava - Rača - SRK - 2010	7	SRK	Bratislava - Rača	Okres Bratislava III	4	0.03
Bratislava - Rača - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Rača	Okres Bratislava III	87	0.78
Bratislava - Rača - SaS - 2010	7	SaS	Bratislava - Rača	Okres Bratislava III	1 861	16.73
Bratislava - Rača - SDĽ - 2010	7	SDĽ	Bratislava - Rača	Okres Bratislava III	286	2.57
Bratislava - Rača - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Rača	Okres Bratislava III	32	0.28
Bratislava - Rača - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Rača	Okres Bratislava III	356	3.20
Bratislava - Rača - KSS - 2010	7	KSS	Bratislava - Rača	Okres Bratislava III	68	0.61
Bratislava - Rača - SNS - 2010	7	SNS	Bratislava - Rača	Okres Bratislava III	552	4.96
Bratislava - Rača - ND - 2010	7	ND	Bratislava - Rača	Okres Bratislava III	44	0.39
Bratislava - Rača - ZRS - 2010	7	ZRS	Bratislava - Rača	Okres Bratislava III	10	0.08
Bratislava - Rača - KDH - 2010	7	KDH	Bratislava - Rača	Okres Bratislava III	909	8.17
Bratislava - Rača - ĽSNS - 2010	7	ĽSNS	Bratislava - Rača	Okres Bratislava III	78	0.70
Bratislava - Rača - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Rača	Okres Bratislava III	2 817	25.33
Bratislava - Rača - AZEN - 2010	7	AZEN	Bratislava - Rača	Okres Bratislava III	9	0.08
Bratislava - Rača - SMER - 2010	7	SMER	Bratislava - Rača	Okres Bratislava III	3 267	29.38
Bratislava - Rača - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Rača	Okres Bratislava III	632	5.68
Bratislava - Vajnory - SRK - 2010	7	SRK	Bratislava - Vajnory	Okres Bratislava III	1	0.03
Bratislava - Vajnory - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Vajnory	Okres Bratislava III	21	0.80
Bratislava - Vajnory - SaS - 2010	7	SaS	Bratislava - Vajnory	Okres Bratislava III	464	17.77
Bratislava - Vajnory - SDĽ - 2010	7	SDĽ	Bratislava - Vajnory	Okres Bratislava III	43	1.64
Bratislava - Vajnory - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Vajnory	Okres Bratislava III	3	0.11
Bratislava - Vajnory - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Vajnory	Okres Bratislava III	68	2.60
Bratislava - Vajnory - KSS - 2010	7	KSS	Bratislava - Vajnory	Okres Bratislava III	20	0.76
Bratislava - Vajnory - SNS - 2010	7	SNS	Bratislava - Vajnory	Okres Bratislava III	127	4.86
Bratislava - Vajnory - ND - 2010	7	ND	Bratislava - Vajnory	Okres Bratislava III	9	0.34
Bratislava - Vajnory - ZRS - 2010	7	ZRS	Bratislava - Vajnory	Okres Bratislava III	3	0.11
Bratislava - Vajnory - KDH - 2010	7	KDH	Bratislava - Vajnory	Okres Bratislava III	266	10.18
Bratislava - Vajnory - ĽSNS - 2010	7	ĽSNS	Bratislava - Vajnory	Okres Bratislava III	13	0.49
Bratislava - Vajnory - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Vajnory	Okres Bratislava III	791	30.29
Bratislava - Vajnory - AZEN - 2010	7	AZEN	Bratislava - Vajnory	Okres Bratislava III	4	0.15
Bratislava - Vajnory - SMER - 2010	7	SMER	Bratislava - Vajnory	Okres Bratislava III	646	24.74
Bratislava - Vajnory - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Vajnory	Okres Bratislava III	99	3.79
Bratislava - Devín - SRK - 2010	7	SRK	Bratislava - Devín	Okres Bratislava IV	0	0.00
Bratislava - Devín - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Devín	Okres Bratislava IV	5	0.72
Bratislava - Devín - SaS - 2010	7	SaS	Bratislava - Devín	Okres Bratislava IV	125	18.01
Bratislava - Devín - SDĽ - 2010	7	SDĽ	Bratislava - Devín	Okres Bratislava IV	10	1.44
Bratislava - Devín - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Devín	Okres Bratislava IV	1	0.14
Bratislava - Devín - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Devín	Okres Bratislava IV	24	3.45
Bratislava - Devín - KSS - 2010	7	KSS	Bratislava - Devín	Okres Bratislava IV	0	0.00
Bratislava - Devín - SNS - 2010	7	SNS	Bratislava - Devín	Okres Bratislava IV	27	3.89
Bratislava - Devín - ND - 2010	7	ND	Bratislava - Devín	Okres Bratislava IV	0	0.00
Bratislava - Devín - ZRS - 2010	7	ZRS	Bratislava - Devín	Okres Bratislava IV	4	0.57
Bratislava - Devín - KDH - 2010	7	KDH	Bratislava - Devín	Okres Bratislava IV	66	9.51
Bratislava - Devín - ĽSNS - 2010	7	ĽSNS	Bratislava - Devín	Okres Bratislava IV	2	0.28
Bratislava - Devín - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Devín	Okres Bratislava IV	178	25.64
Bratislava - Devín - AZEN - 2010	7	AZEN	Bratislava - Devín	Okres Bratislava IV	1	0.14
Bratislava - Devín - SMER - 2010	7	SMER	Bratislava - Devín	Okres Bratislava IV	200	28.81
Bratislava - Devín - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Devín	Okres Bratislava IV	43	6.19
Bratislava - Devínska Nová Ves - SRK - 2010	7	SRK	Bratislava - Devínska Nová Ves	Okres Bratislava IV	1	0.01
Bratislava - Devínska Nová Ves - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Devínska Nová Ves	Okres Bratislava IV	62	0.72
Bratislava - Devínska Nová Ves - SaS - 2010	7	SaS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	1 883	22.06
Bratislava - Devínska Nová Ves - SDĽ - 2010	7	SDĽ	Bratislava - Devínska Nová Ves	Okres Bratislava IV	246	2.88
Bratislava - Devínska Nová Ves - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Devínska Nová Ves	Okres Bratislava IV	12	0.14
Bratislava - Devínska Nová Ves - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	146	1.71
Bratislava - Devínska Nová Ves - KSS - 2010	7	KSS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	42	0.49
Bratislava - Devínska Nová Ves - SNS - 2010	7	SNS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	301	3.52
Bratislava - Devínska Nová Ves - ND - 2010	7	ND	Bratislava - Devínska Nová Ves	Okres Bratislava IV	26	0.30
Bratislava - Devínska Nová Ves - ZRS - 2010	7	ZRS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	9	0.10
Bratislava - Devínska Nová Ves - KDH - 2010	7	KDH	Bratislava - Devínska Nová Ves	Okres Bratislava IV	645	7.55
Bratislava - Devínska Nová Ves - ĽSNS - 2010	7	ĽSNS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	65	0.76
Bratislava - Devínska Nová Ves - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Devínska Nová Ves	Okres Bratislava IV	2 531	29.65
Bratislava - Devínska Nová Ves - AZEN - 2010	7	AZEN	Bratislava - Devínska Nová Ves	Okres Bratislava IV	10	0.11
Bratislava - Devínska Nová Ves - SMER - 2010	7	SMER	Bratislava - Devínska Nová Ves	Okres Bratislava IV	1 892	22.16
Bratislava - Devínska Nová Ves - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Devínska Nová Ves	Okres Bratislava IV	533	6.24
Bratislava - Dúbravka - SRK - 2010	7	SRK	Bratislava - Dúbravka	Okres Bratislava IV	3	0.01
Bratislava - Dúbravka - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Dúbravka	Okres Bratislava IV	116	0.62
Bratislava - Dúbravka - SaS - 2010	7	SaS	Bratislava - Dúbravka	Okres Bratislava IV	3 240	17.46
Bratislava - Dúbravka - SDĽ - 2010	7	SDĽ	Bratislava - Dúbravka	Okres Bratislava IV	359	1.93
Bratislava - Dúbravka - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Dúbravka	Okres Bratislava IV	81	0.43
Bratislava - Dúbravka - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Dúbravka	Okres Bratislava IV	491	2.64
Bratislava - Dúbravka - KSS - 2010	7	KSS	Bratislava - Dúbravka	Okres Bratislava IV	77	0.41
Bratislava - Dúbravka - SNS - 2010	7	SNS	Bratislava - Dúbravka	Okres Bratislava IV	608	3.27
Bratislava - Dúbravka - ND - 2010	7	ND	Bratislava - Dúbravka	Okres Bratislava IV	54	0.29
Bratislava - Dúbravka - ZRS - 2010	7	ZRS	Bratislava - Dúbravka	Okres Bratislava IV	12	0.06
Bratislava - Dúbravka - KDH - 2010	7	KDH	Bratislava - Dúbravka	Okres Bratislava IV	1 510	8.13
Bratislava - Dúbravka - ĽSNS - 2010	7	ĽSNS	Bratislava - Dúbravka	Okres Bratislava IV	113	0.60
Bratislava - Dúbravka - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Dúbravka	Okres Bratislava IV	5 247	28.28
Bratislava - Dúbravka - AZEN - 2010	7	AZEN	Bratislava - Dúbravka	Okres Bratislava IV	19	0.10
Bratislava - Dúbravka - SMER - 2010	7	SMER	Bratislava - Dúbravka	Okres Bratislava IV	5 123	27.61
Bratislava - Dúbravka - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Dúbravka	Okres Bratislava IV	1 295	6.98
Bratislava - Karlova Ves - SRK - 2010	7	SRK	Bratislava - Karlova Ves	Okres Bratislava IV	0	0.00
Bratislava - Karlova Ves - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Karlova Ves	Okres Bratislava IV	130	0.65
Bratislava - Karlova Ves - SaS - 2010	7	SaS	Bratislava - Karlova Ves	Okres Bratislava IV	3 941	19.83
Bratislava - Karlova Ves - SDĽ - 2010	7	SDĽ	Bratislava - Karlova Ves	Okres Bratislava IV	328	1.65
Bratislava - Karlova Ves - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Karlova Ves	Okres Bratislava IV	63	0.31
Bratislava - Karlova Ves - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Karlova Ves	Okres Bratislava IV	457	2.30
Bratislava - Karlova Ves - KSS - 2010	7	KSS	Bratislava - Karlova Ves	Okres Bratislava IV	46	0.23
Bratislava - Karlova Ves - SNS - 2010	7	SNS	Bratislava - Karlova Ves	Okres Bratislava IV	606	3.05
Bratislava - Karlova Ves - ND - 2010	7	ND	Bratislava - Karlova Ves	Okres Bratislava IV	50	0.25
Bratislava - Karlova Ves - ZRS - 2010	7	ZRS	Bratislava - Karlova Ves	Okres Bratislava IV	9	0.04
Bratislava - Karlova Ves - KDH - 2010	7	KDH	Bratislava - Karlova Ves	Okres Bratislava IV	1 817	9.14
Bratislava - Karlova Ves - ĽSNS - 2010	7	ĽSNS	Bratislava - Karlova Ves	Okres Bratislava IV	101	0.50
Bratislava - Karlova Ves - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Karlova Ves	Okres Bratislava IV	6 064	30.52
Bratislava - Karlova Ves - AZEN - 2010	7	AZEN	Bratislava - Karlova Ves	Okres Bratislava IV	37	0.18
Bratislava - Karlova Ves - SMER - 2010	7	SMER	Bratislava - Karlova Ves	Okres Bratislava IV	4 216	21.22
Bratislava - Karlova Ves - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Karlova Ves	Okres Bratislava IV	1 702	8.56
Bratislava - Lamač - SRK - 2010	7	SRK	Bratislava - Lamač	Okres Bratislava IV	0	0.00
Bratislava - Lamač - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Lamač	Okres Bratislava IV	39	0.94
Bratislava - Lamač - SaS - 2010	7	SaS	Bratislava - Lamač	Okres Bratislava IV	685	16.66
Bratislava - Lamač - SDĽ - 2010	7	SDĽ	Bratislava - Lamač	Okres Bratislava IV	55	1.33
Bratislava - Lamač - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Lamač	Okres Bratislava IV	25	0.60
Bratislava - Lamač - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Lamač	Okres Bratislava IV	131	3.18
Bratislava - Lamač - KSS - 2010	7	KSS	Bratislava - Lamač	Okres Bratislava IV	8	0.19
Bratislava - Lamač - SNS - 2010	7	SNS	Bratislava - Lamač	Okres Bratislava IV	167	4.06
Bratislava - Lamač - ND - 2010	7	ND	Bratislava - Lamač	Okres Bratislava IV	8	0.19
Bratislava - Lamač - ZRS - 2010	7	ZRS	Bratislava - Lamač	Okres Bratislava IV	2	0.04
Bratislava - Lamač - KDH - 2010	7	KDH	Bratislava - Lamač	Okres Bratislava IV	493	11.99
Bratislava - Lamač - ĽSNS - 2010	7	ĽSNS	Bratislava - Lamač	Okres Bratislava IV	29	0.70
Bratislava - Lamač - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Lamač	Okres Bratislava IV	1 143	27.80
Bratislava - Lamač - AZEN - 2010	7	AZEN	Bratislava - Lamač	Okres Bratislava IV	9	0.21
Bratislava - Lamač - SMER - 2010	7	SMER	Bratislava - Lamač	Okres Bratislava IV	1 004	24.42
Bratislava - Lamač - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Lamač	Okres Bratislava IV	268	6.51
Bratislava - Záhorská Bystrica - SRK - 2010	7	SRK	Bratislava - Záhorská Bystrica	Okres Bratislava IV	0	0.00
Bratislava - Záhorská Bystrica - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Záhorská Bystrica	Okres Bratislava IV	11	0.59
Bratislava - Záhorská Bystrica - SaS - 2010	7	SaS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	383	20.64
Bratislava - Záhorská Bystrica - SDĽ - 2010	7	SDĽ	Bratislava - Záhorská Bystrica	Okres Bratislava IV	16	0.86
Bratislava - Záhorská Bystrica - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Záhorská Bystrica	Okres Bratislava IV	1	0.05
Bratislava - Záhorská Bystrica - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	60	3.23
Bratislava - Záhorská Bystrica - KSS - 2010	7	KSS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	12	0.64
Bratislava - Záhorská Bystrica - SNS - 2010	7	SNS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	56	3.01
Bratislava - Záhorská Bystrica - ND - 2010	7	ND	Bratislava - Záhorská Bystrica	Okres Bratislava IV	6	0.32
Bratislava - Záhorská Bystrica - ZRS - 2010	7	ZRS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	5	0.26
Bratislava - Záhorská Bystrica - KDH - 2010	7	KDH	Bratislava - Záhorská Bystrica	Okres Bratislava IV	168	9.05
Bratislava - Záhorská Bystrica - ĽSNS - 2010	7	ĽSNS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	3	0.16
Bratislava - Záhorská Bystrica - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Záhorská Bystrica	Okres Bratislava IV	575	30.99
Bratislava - Záhorská Bystrica - AZEN - 2010	7	AZEN	Bratislava - Záhorská Bystrica	Okres Bratislava IV	3	0.16
Bratislava - Záhorská Bystrica - SMER - 2010	7	SMER	Bratislava - Záhorská Bystrica	Okres Bratislava IV	453	24.42
Bratislava - Záhorská Bystrica - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Záhorská Bystrica	Okres Bratislava IV	83	4.47
Bratislava - Čunovo - SRK - 2010	7	SRK	Bratislava - Čunovo	Okres Bratislava V	0	0.00
Bratislava - Čunovo - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Čunovo	Okres Bratislava V	3	0.49
Bratislava - Čunovo - SaS - 2010	7	SaS	Bratislava - Čunovo	Okres Bratislava V	84	13.77
Bratislava - Čunovo - SDĽ - 2010	7	SDĽ	Bratislava - Čunovo	Okres Bratislava V	12	1.96
Bratislava - Čunovo - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Čunovo	Okres Bratislava V	5	0.81
Bratislava - Čunovo - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Čunovo	Okres Bratislava V	14	2.29
Bratislava - Čunovo - KSS - 2010	7	KSS	Bratislava - Čunovo	Okres Bratislava V	0	0.00
Bratislava - Čunovo - SNS - 2010	7	SNS	Bratislava - Čunovo	Okres Bratislava V	6	0.98
Bratislava - Čunovo - ND - 2010	7	ND	Bratislava - Čunovo	Okres Bratislava V	1	0.16
Bratislava - Čunovo - ZRS - 2010	7	ZRS	Bratislava - Čunovo	Okres Bratislava V	0	0.00
Bratislava - Čunovo - KDH - 2010	7	KDH	Bratislava - Čunovo	Okres Bratislava V	82	13.44
Bratislava - Čunovo - ĽSNS - 2010	7	ĽSNS	Bratislava - Čunovo	Okres Bratislava V	3	0.49
Bratislava - Čunovo - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Čunovo	Okres Bratislava V	222	36.39
Bratislava - Čunovo - AZEN - 2010	7	AZEN	Bratislava - Čunovo	Okres Bratislava V	0	0.00
Bratislava - Čunovo - SMER - 2010	7	SMER	Bratislava - Čunovo	Okres Bratislava V	92	15.08
Bratislava - Čunovo - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Čunovo	Okres Bratislava V	82	13.44
Bratislava - Jarovce - SRK - 2010	7	SRK	Bratislava - Jarovce	Okres Bratislava V	0	0.00
Bratislava - Jarovce - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Jarovce	Okres Bratislava V	3	0.32
Bratislava - Jarovce - SaS - 2010	7	SaS	Bratislava - Jarovce	Okres Bratislava V	140	15.35
